Time,Sensor,Coil
0,541,3
1,541,12
1,541,14
2,541,9
2,542,26
3,542,19
3,542,8
11,542,7
21,542,7
32,542,6
43,542,12
54,542,11
65,542,14
76,541,16
88,540,16
100,541,15
112,541,20
124,541,15
137,540,17
149,540,18
162,540,15
175,540,15
187,540,18
199,539,16
211,539,16
224,539,14
237,539,11
249,539,10
262,539,11
274,539,10
286,539,12
300,539,9
311,539,7
322,539,10
334,538,10
347,538,11
360,538,12
372,538,14
385,538,16
397,538,15
409,538,17
421,538,14
435,538,15
447,538,20
459,539,16
472,538,15
484,539,13
497,538,11
509,539,12
522,539,10
534,540,11
546,539,9
558,540,8
570,540,6
581,540,2
592,541,0
604,540,0
615,541,0
627,538,0
638,535,0
650,533,0
661,533,0
672,533,2
684,532,25
697,533,56
709,534,82
721,534,88
734,534,76
746,534,62
759,534,51
772,534,40
784,534,30
796,534,22
808,534,20
821,534,13
834,534,8
845,534,2
857,534,0
868,534,0
879,534,0
890,534,0
903,534,4
914,534,0
925,534,0
936,534,0
948,534,0
960,534,0
971,533,0
983,533,1
994,532,16
1006,533,3
1018,532,0
1032,531,0
1044,530,0
1056,530,20
1070,531,28
1083,531,7
1096,532,13
1110,532,36
1123,532,15
1136,532,0
1148,533,5
1162,533,7
1174,533,4
1186,533,6
1199,533,23
1212,533,18
1226,535,6
1239,533,12
1252,534,39
1265,534,58
1278,534,26
1293,534,27
1306,533,35
1319,534,38
1333,533,38
1346,533,32
1360,534,16
1374,533,7
1386,533,2
1398,533,0
1411,533,0
1423,533,0
1436,533,0
1448,533,0
1461,533,0
1473,532,0
1485,532,0
1499,532,0
1511,531,0
1523,530,21
1537,529,33
1550,528,26
1564,527,10
1577,525,1
1590,523,16
1603,524,16
1616,525,5
1630,527,3
1642,529,15
1655,530,15
1669,532,12
1682,532,14
1696,533,22
1710,532,26
1723,532,31
1736,532,41
1750,533,46
1764,533,45
1777,533,33
1790,533,14
1804,533,5
1816,533,19
1830,533,32
1844,534,34
1857,534,26
1870,533,1
1883,533,0
1896,533,0
1908,533,0
1921,533,0
1933,532,8
1945,533,0
1958,532,0
1971,533,0
1983,532,3
1995,532,10
2009,531,9
2021,530,10
2035,530,7
2048,530,10
2061,530,12
2074,530,9
2086,529,4
2100,530,14
2113,527,20
2126,527,32
2140,527,15
2153,528,0
2166,531,0
2179,530,20
2192,531,35
2205,532,34
2219,532,38
2233,532,36
2246,533,35
2259,533,34
2273,533,29
2286,533,23
2300,533,20
2314,532,17
2327,533,15
2340,535,11
2354,533,10
2368,533,4
2380,534,0
2393,533,0
2405,533,0
2417,533,0
2430,533,0
2443,533,8
2455,533,8
2467,533,4
2480,533,1
2493,533,4
2505,532,20
2519,532,33
2532,531,24
2545,531,11
2560,532,7
2572,532,10
2585,532,5
2597,532,5
2610,532,7
2623,533,8
2635,533,13
2649,533,15
2662,533,20
2675,533,22
2690,533,29
2703,533,31
2716,533,37
2729,533,38
2743,533,32
2757,534,28
2770,533,26
2784,533,19
2797,533,14
2810,533,14
2825,533,10
2838,534,6
2850,533,0
2863,533,0
2875,533,0
2887,534,0
2900,533,0
2913,532,0
2925,532,6
2937,532,10
2951,531,7
2964,530,10
2977,530,10
2991,530,12
3004,529,13
3017,532,16
3032,530,12
3045,530,11
3058,530,10
3072,532,12
3085,530,12
3099,529,14
3112,530,15
3126,531,18
3139,531,20
3152,531,21
3167,532,24
3180,532,32
3193,533,35
3207,533,40
3220,533,42
3234,533,38
3248,533,19
3261,533,12
3274,534,8
3287,535,4
3300,533,4
3312,534,2
3324,533,0
3337,532,0
3349,534,0
3362,533,0
3375,532,0
3387,533,0
3399,532,0
3411,532,0
3425,532,3
3437,532,7
3449,532,10
3463,532,12
3476,532,15
3490,534,18
3504,532,15
3517,531,16
3530,532,14
3544,532,10
3558,532,6
3570,532,4
3582,533,6
3595,533,17
3608,533,22
3622,533,26
3636,533,28
3649,533,29
3662,533,34
3676,533,36
3690,535,34
3703,533,31
3717,533,32
3730,533,25
3743,533,24
3758,534,18
3771,533,10
3784,533,4
3796,533,0
3809,533,0
3822,533,0
3834,533,0
3847,533,0
3859,532,0
3871,532,0
3884,531,0
3897,531,4
3909,530,8
3921,530,8
3934,529,12
3947,529,11
3961,528,11
3975,528,12
3988,528,9
4000,529,7
4013,529,8
4026,530,9
4038,530,6
4050,531,11
4064,531,13
4077,532,16
4091,531,20
4105,531,22
4118,532,25
4131,532,28
4145,532,29
4159,533,32
4172,533,31
4186,534,32
4199,533,29
4212,533,24
4227,533,18
4240,533,14
4253,533,9
4265,535,4
4278,533,0
4291,533,0
4303,533,0
4316,533,0
4328,533,0
4340,533,0
4354,532,0
4366,532,1
4378,533,4
4390,532,7
4403,532,14
4416,533,15
4430,532,16
4444,532,16
4457,532,15
4470,533,14
4484,533,14
4498,532,12
4511,532,14
4525,532,12
4538,531,12
4551,532,11
4566,531,14
4579,532,19
4592,531,24
4605,532,27
4620,533,27
4633,533,31
4646,533,34
4660,535,32
4673,533,28
4687,533,22
4701,533,18
4714,533,12
4727,532,12
4741,533,3
4754,532,0
4766,532,0
4779,533,0
4791,532,0
4803,532,0
4815,532,0
4829,532,0
4841,532,0
4853,532,5
4866,532,7
4878,531,9
4891,531,14
4904,530,11
4918,530,14
4931,529,14
4944,530,13
4959,530,16
4972,530,16
4985,530,10
4999,531,10
5012,531,7
5025,532,12
5039,532,19
5052,532,25
5065,532,25
5079,533,27
5093,534,27
5106,533,27
5120,533,28
5133,533,24
5146,533,24
5160,533,24
5174,533,20
5187,533,14
5200,533,10
5214,533,4
5227,533,0
5239,532,0
5252,533,0
5264,532,0
5276,533,0
5289,533,0
5302,533,0
5314,533,1
5326,533,5
5339,533,4
5352,532,8
5364,532,11
5378,532,19
5391,532,16
5404,532,14
5419,532,12
5432,532,11
5445,532,12
5458,532,12
5472,532,10
5486,532,12
5499,532,12
5513,533,14
5526,532,18
5539,532,24
5554,533,28
5567,533,28
5580,533,27
5594,534,30
5607,533,32
5621,533,32
5635,533,26
5648,533,24
5661,533,18
5675,533,12
5689,533,12
5702,533,6
5714,533,4
5727,533,0
5739,532,0
5752,532,0
5765,532,0
5777,532,0
5789,532,0
5801,532,0
5814,532,3
5827,531,8
5839,531,12
5853,530,14
5866,530,13
5879,530,14
5894,530,15
5907,532,16
5920,532,14
5934,531,12
5947,532,15
5961,532,16
5975,534,16
5988,534,15
6001,534,20
6014,534,24
6029,534,24
6042,534,27
6055,534,34
6069,534,35
6082,534,32
6096,534,31
6110,534,28
6123,534,22
6136,534,18
6151,535,18
6164,536,11
6177,534,5
6190,534,1
6202,534,0
6214,534,1
6227,534,0
6240,535,1
6252,534,0
6264,534,1
6277,534,6
6290,534,9
6302,534,11
6316,534,15
6329,534,16
6342,534,18
6356,534,19
6370,534,14
6383,534,16
6396,533,14
6410,534,14
6424,534,13
6437,535,14
6451,533,16
6464,534,18
6477,533,21
6492,534,24
6505,534,29
6518,534,30
6532,535,34
6545,534,34
6559,535,34
6573,535,32
6586,535,30
6599,534,29
6612,535,24
6627,535,18
6640,535,12
6653,534,5
6666,535,1
6678,535,0
6691,535,0
6704,535,0
6716,536,0
6728,534,0
6740,534,4
6754,534,8
6766,533,12
6779,533,14
6793,532,11
6806,532,13
6820,532,17
6834,532,18
6847,532,18
6860,531,19
6874,532,18
6888,534,16
6901,532,15
6915,533,16
6928,534,18
6941,534,20
6956,534,21
6969,534,24
6982,535,29
6995,534,32
7009,535,30
7023,535,27
7036,535,28
7050,535,26
7063,536,24
7076,534,18
7091,535,17
7104,536,14
7117,536,10
7131,535,10
7144,536,8
7157,536,6
7170,536,4
7182,535,4
7194,535,2
7206,535,2
7220,535,6
7232,535,8
7244,537,9
7257,535,11
7270,535,14
7284,534,16
7298,534,17
7311,534,18
7324,534,17
7337,534,16
7352,534,15
7365,534,14
7378,533,14
7392,534,16
7405,533,16
7419,534,16
7433,534,18
7446,534,22
7459,534,25
7473,535,28
7487,535,31
7500,534,32
7514,535,32
7527,535,28
7540,535,26
7555,535,24
7568,534,20
7581,535,19
7595,535,14
7608,535,10
7622,535,8
7634,534,6
7647,534,4
7659,534,2
7671,534,0
7685,534,0
7697,534,0
7709,534,3
7721,535,8
7734,534,11
7748,534,14
7761,535,18
7775,534,16
7788,534,17
7801,533,15
7816,533,15
7829,533,16
7842,533,12
7856,533,15
7869,533,14
7883,533,15
7897,533,15
7910,534,20
7923,534,18
7937,534,20
7951,535,23
7964,535,28
7977,533,28
7991,534,28
8004,534,27
8018,534,27
8032,534,21
8045,534,18
8058,534,14
8072,534,9
8085,534,3
8097,534,3
8110,535,4
8122,535,4
8134,535,2
8147,534,2
8160,535,2
8172,534,4
8184,534,4
8197,533,5
8209,534,8
8222,534,13
8236,534,13
8249,534,16
8262,534,15
8275,533,18
8290,533,13
8303,534,13
8316,534,14
8330,534,14
8343,534,16
8357,533,14
8371,534,19
8384,534,20
8397,534,25
8411,534,26
8425,534,28
8438,534,28
8452,534,28
8465,534,30
8478,534,27
8493,534,27
8506,533,24
8519,534,20
8532,533,14
8547,534,10
8560,534,7
8572,534,6
8585,534,0
8597,534,1
8609,534,0
8623,534,4
8635,534,5
8647,533,5
8659,533,6
8672,533,8
8685,533,3
8697,532,10
8711,533,10
8724,532,14
8737,532,16
8752,532,17
8765,533,16
8778,532,14
8792,533,16
8805,533,14
8819,533,14
8833,533,16
8846,533,15
8859,533,20
8872,534,22
8887,534,22
8900,534,23
8913,534,22
8927,534,25
8940,534,26
8954,534,25
8968,534,24
8981,534,19
8994,535,16
9008,535,17
9022,534,14
9035,534,10
9049,534,5
9061,534,7
9073,534,4
9086,534,2
9099,534,4
9111,534,4
9123,534,3
9136,534,5
9149,534,5
9161,534,10
9175,534,11
9188,534,13
9201,533,14
9216,533,14
9229,533,14
9242,533,17
9255,532,16
9269,533,13
9283,533,13
9296,534,16
9310,534,13
9323,534,18
9336,534,20
9351,534,20
9364,533,24
9377,533,23
9391,534,24
9404,534,26
9418,534,24
9432,534,26
9445,534,24
9458,534,24
9472,535,22
9486,535,20
9499,534,16
9512,534,11
9526,534,12
9539,534,3
9552,534,2
9565,534,1
9577,534,0
9589,534,0
9602,533,5
9615,533,5
9627,534,10
9640,534,8
9653,533,7
9665,533,11
9679,533,12
9693,533,14
9706,533,12
9719,533,16
9733,533,11
9747,532,14
9760,533,15
9774,532,14
9787,533,16
9800,533,12
9815,532,16
9828,533,18
9841,534,21
9854,534,24
9868,534,22
9882,535,26
9895,534,28
9909,534,26
9922,535,24
9935,535,17
9950,535,17
9963,534,10
9976,534,12
9990,534,9
10002,534,8
10016,534,4
10030,534,2
10043,534,4
10056,535,4
10070,534,6
10084,535,8
10097,534,6
10110,534,10
10125,534,12
10139,533,16
10155,533,16
10169,534,12
10183,533,16
10198,534,16
10213,534,14
10227,534,16
10242,534,16
10256,534,17
10270,534,17
10286,534,18
10300,534,20
10314,534,24
10329,534,24
10344,534,28
10358,534,27
10373,535,28
10387,535,26
10401,535,23
10417,535,17
10431,534,17
10445,535,16
10460,535,10
10474,535,10
10489,535,8
10503,535,9
10516,535,10
10530,535,9
10545,535,8
10558,534,4
10571,534,8
10585,534,6
10598,534,7
10612,534,10
10627,534,14
10641,534,14
10655,533,16
10670,534,16
10685,533,17
10699,534,17
10714,534,20
10728,534,17
10743,535,20
10758,534,20
10772,534,20
10786,535,20
10801,535,21
10816,535,24
10830,535,26
10845,536,26
10859,536,25
10873,536,26
10889,536,24
10903,536,22
10917,536,19
10932,536,13
10947,535,12
10961,536,12
10976,536,12
10990,536,8
11003,535,8
11018,535,5
11031,536,8
11044,535,9
11058,535,12
11072,535,11
11087,535,12
11102,535,16
11116,534,16
11130,535,15
11146,534,11
11160,535,17
11174,536,18
11189,535,18
11203,535,19
11218,535,20
11233,535,20
11247,535,19
11261,535,24
11277,535,24
11291,535,26
11305,535,27
11320,535,28
11334,536,27
11350,535,27
11364,536,21
11378,536,22
11393,535,20
11407,536,20
11422,536,14
11437,536,10
11451,536,6
11464,535,4
11479,536,8
11492,536,7
11505,535,10
11520,535,5
11533,534,12
11548,535,11
11563,535,12
11577,535,15
11591,534,15
11606,535,21
11621,534,20
11635,533,15
11650,533,15
11664,533,15
11679,533,13
11694,537,24
11708,533,18
11722,533,18
11737,534,20
11752,534,22
11766,534,21
11781,534,20
11795,534,23
11810,534,22
11825,534,19
11839,534,19
11853,534,18
11868,534,12
11883,534,10
11897,534,10
11912,534,7
11925,534,6
11938,534,5
11953,534,6
11966,534,6
11979,534,5
11993,534,8
