Time (s) Run #1,"x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1",Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0,,,,,0,0,,,0,,,0,,,0,,
3.772,0.03,0.05,4.09E-04,0.02,,,0.05,0,-0.031,,0,-7.50E-04,,0.003,0.031,,7.50E-05,7.50E-04,
4.338,0.03,0.07,0,0.03,0,0,0.1,-0.003,-0.052,-0.314,-7.50E-05,-0.001,-0.007,0.003,0.01,-0.314,7.50E-05,2.50E-04,-0.007
6.473,0.04,0.13,0,0.03,-1.63E-04,0,0.15,-0.006,-0.063,-0.244,-1.50E-04,-0.001,-0.006,0.003,0,-0.035,7.50E-05,0,-8.33E-04
6.94,0.04,0.15,0,0.04,0,-3.24E-05,0.2,-0.009,-0.073,-0.209,-2.25E-04,-0.002,-0.005,0.003,0.01,0.105,7.50E-05,2.50E-04,0.002
7.873,0.04,0.18,0,0.03,0,0,0.25,-0.013,-0.084,-0.209,-3.00E-04,-0.002,-0.005,0.003,0.021,0.07,7.50E-05,5.00E-04,0.002
9.142,0.03,0.22,0,0.04,0,0.02,0.3,-0.019,-0.094,-0.209,-4.50E-04,-0.002,-0.005,0.006,0.021,-0.07,1.50E-04,5.00E-04,-0.002
9.775,0.03,0.27,0,0.07,0.01,0.01,0.35,-0.022,-0.105,-0.14,-5.25E-04,-0.002,-0.003,0.006,0.01,-0.14,1.50E-04,2.50E-04,-0.003
10.008,0.04,0.28,0,0.05,,,0.4,-0.028,-0.115,0.14,-6.75E-04,-0.003,0.003,0.006,0,-0.105,1.50E-04,0,-0.002
12.442,0.04,0.41,,,,,0.45,-0.035,-0.105,0.628,-8.25E-04,-0.002,0.015,0.006,0,-0.035,1.50E-04,0,-8.33E-04
,,,,,,,0.5,-0.041,-0.052,1.047,-9.75E-04,-0.001,0.025,0.006,0,0,1.50E-04,0,0
,,,,,,,0.55,-0.041,0.021,1.082,-9.75E-04,5.00E-04,0.026,0.006,0,0,1.50E-04,0,0
,,,,,,,0.6,-0.038,0.073,0.768,-9.00E-04,0.002,0.018,0.006,0,0,1.50E-04,0,0
,,,,,,,0.65,-0.031,0.094,0.384,-7.50E-04,0.002,0.009,0.006,0,0,1.50E-04,0,0
,,,,,,,0.7,-0.028,0.105,0.14,-6.75E-04,0.002,0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,0.75,-0.022,0.105,0.035,-5.25E-04,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,0.8,-0.016,0.105,0.035,-3.75E-04,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,0.85,-0.013,0.105,0.105,-3.00E-04,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,0.9,-0.006,0.115,0.105,-1.50E-04,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,0.95,-1.74E-18,0.126,0,-4.14E-20,0.003,0,0.006,0,0,1.50E-04,0,0
,,,,,,,1,0.006,0.115,-0.105,1.50E-04,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.05,0.013,0.105,-0.07,3.00E-04,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.1,0.016,0.105,0.07,3.75E-04,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.15,0.022,0.115,0.14,5.25E-04,0.003,0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,1.2,0.028,0.126,0.105,6.75E-04,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.25,0.035,0.126,0.035,8.25E-04,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.3,0.041,0.126,-5.55E-16,9.75E-04,0.003,-1.30E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.35,0.047,0.126,-2.78E-16,0.0011,0.003,0,0.006,0,0,1.50E-04,0,0
,,,,,,,1.4,0.053,0.126,0,0.0013,0.003,1.30E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.45,0.06,0.126,-0.035,0.0014,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.5,0.066,0.126,-0.07,0.0016,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.55,0.072,0.115,-0.07,0.0017,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.6,0.079,0.115,-0.035,0.0019,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.65,0.082,0.115,4.16E-16,0.0019,0.003,1.74E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.7,0.091,0.115,5.55E-16,0.0022,0.003,4.77E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.75,0.094,0.115,0.035,0.0022,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.8,0.101,0.115,0.07,0.0024,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.85,0.107,0.126,0.07,0.0025,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.9,0.113,0.126,0.035,0.0027,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.95,0.119,0.126,-0.035,0.0028,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2,0.126,0.126,-0.105,0.003,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.05,0.132,0.115,-0.14,0.0031,0.003,-0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,2.1,0.138,0.105,-0.105,0.0033,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.15,0.141,0.105,0,0.0034,0.002,1.74E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,2.2,0.148,0.105,0.07,0.0035,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.25,0.154,0.115,0.07,0.0037,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.3,0.157,0.115,0.035,0.0037,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2.35,0.167,0.115,-0.035,0.004,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2.4,0.17,0.115,-0.07,0.004,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.45,0.176,0.105,-0.07,0.0042,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.5,0.182,0.105,-8.33E-16,0.0043,0.002,-5.20E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,2.55,0.185,0.105,0.105,0.0044,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.6,0.192,0.115,0.105,0.0046,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.65,0.198,0.126,9.71E-16,0.0047,0.003,7.37E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,2.7,0.204,0.115,-0.105,0.0049,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.75,0.21,0.105,-0.07,0.005,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,2.8,0.214,0.105,0.035,0.0051,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2.85,0.22,0.115,0.035,0.0052,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2.9,0.226,0.115,-0.035,0.0054,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2.95,0.232,0.105,-0.07,0.0055,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3,0.236,0.105,-0.035,0.0056,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.05,0.242,0.105,-0.035,0.0058,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.1,0.248,0.105,-0.07,0.0059,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.15,0.251,0.094,-0.07,0.006,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.2,0.258,0.094,-0.035,0.0061,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.25,0.261,0.094,0.035,0.0062,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.3,0.267,0.094,0.07,0.0064,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.35,0.27,0.105,0.07,0.0064,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.4,0.276,0.105,6.94E-16,0.0066,0.002,1.74E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,3.45,0.283,0.105,-0.07,0.0067,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.5,0.286,0.094,-0.07,0.0068,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.55,0.292,0.094,-0.035,0.007,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.6,0.295,0.094,6.94E-16,0.007,0.002,1.74E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,3.65,0.302,0.094,-0.035,0.0072,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.7,0.305,0.094,-0.07,0.0073,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.75,0.311,0.084,-0.07,0.0074,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.8,0.314,0.084,-0.035,0.0075,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.85,0.317,0.084,-0.035,0.0076,0.002,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,3.9,0.324,0.084,-0.105,0.0077,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,3.95,0.327,0.073,-0.14,0.0078,0.002,-0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,4,0.33,0.063,-0.105,0.0079,0.001,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,4.05,0.333,0.063,-0.07,0.0079,0.001,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,4.1,0.336,0.063,-0.14,0.008,0.001,-0.003,0.006,0,-0.035,1.50E-04,0,-8.33E-04
,,,,,,,4.15,0.339,0.052,-0.279,0.0081,0.001,-0.007,0.006,0,-0.105,1.50E-04,0,-0.002
,,,,,,,4.2,0.342,0.031,-0.349,0.0082,7.50E-04,-0.008,0.006,-0.01,-0.14,1.50E-04,-2.50E-04,-0.003
,,,,,,,4.25,0.342,0.01,-0.314,0.0082,2.50E-04,-0.007,0.006,-0.021,-0.07,1.50E-04,-5.00E-04,-0.002
,,,,,,,4.3,0.342,0,-0.279,0.0082,0,-0.007,0.003,-0.021,0.07,7.50E-05,-5.00E-04,0.002
,,,,,,,4.35,0.342,-0.01,-0.314,0.0082,-2.50E-04,-0.007,0.003,-0.01,0.14,7.50E-05,-2.50E-04,0.003
,,,,,,,4.4,0.342,-0.031,-0.349,0.0082,-7.50E-04,-0.008,0.003,0,0.105,7.50E-05,0,0.002
,,,,,,,4.45,0.339,-0.052,-0.279,0.0081,-0.001,-0.007,0.003,0,0.035,7.50E-05,0,8.33E-04
,,,,,,,4.5,0.336,-0.063,-0.14,0.008,-0.001,-0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,4.55,0.333,-0.063,-0.035,0.0079,-0.001,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,4.6,0.33,-0.063,0,0.0079,-0.001,2.82E-17,0.003,0,0,7.50E-05,0,0
,,,,,,,4.65,0.327,-0.063,-0.035,0.0078,-0.001,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,4.7,0.324,-0.063,-0.105,0.0077,-0.001,-0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,4.75,0.32,-0.073,-0.14,0.0076,-0.002,-0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,4.8,0.317,-0.084,-0.07,0.0076,-0.002,-0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,4.85,0.311,-0.084,0.07,0.0074,-0.002,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,4.9,0.308,-0.073,0.14,0.0073,-0.002,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,4.95,0.305,-0.063,0.105,0.0073,-0.001,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5,0.302,-0.063,0.07,0.0072,-0.001,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.05,0.298,-0.063,0.105,0.0071,-0.001,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.1,0.295,-0.052,0.14,0.007,-0.001,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,5.15,0.292,-0.042,0.07,0.007,-1.00E-03,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.2,0.292,-0.042,-0.035,0.007,-1.00E-03,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,5.25,0.289,-0.052,-0.035,0.0069,-0.001,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,5.3,0.286,-0.052,0.07,0.0068,-0.001,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.35,0.283,-0.042,0.14,0.0067,-1.00E-03,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,5.4,0.283,-0.031,0.07,0.0067,-7.50E-04,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.45,0.28,-0.031,-0.035,0.0067,-7.50E-04,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,5.5,0.28,-0.042,-0.035,0.0067,-1.00E-03,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,5.55,0.276,-0.042,0.105,0.0066,-1.00E-03,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.6,0.273,-0.031,0.209,0.0065,-7.50E-04,0.005,0.003,0,0,7.50E-05,0,0
,,,,,,,5.65,0.273,-0.01,0.14,0.0065,-2.50E-04,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,5.7,0.273,-0.01,1.39E-16,0.0065,-2.50E-04,3.25E-18,0.003,0,0,7.50E-05,0,0
,,,,,,,5.75,0.273,-0.021,-0.035,0.0065,-5.00E-04,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,5.8,0.27,-0.021,0.07,0.0064,-5.00E-04,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.85,0.27,-0.01,0.14,0.0064,-2.50E-04,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,5.9,0.27,0,0.105,0.0064,0,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,5.95,0.27,0,0.035,0.0064,0,8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,6,0.27,0,0,0.0064,0,0,0.003,0,0,7.50E-05,0,0
,,,,,,,6.05,0.27,0,0,0.0064,0,0,0.003,0,0,7.50E-05,0,0
,,,,,,,6.1,0.27,0,-0.035,0.0064,0,-8.33E-04,0.003,0,0,7.50E-05,0,0
,,,,,,,6.15,0.27,0,-0.105,0.0064,0,-0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,6.2,0.27,-0.01,-0.14,0.0064,-2.50E-04,-0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,6.25,0.27,-0.021,-0.07,0.0064,-5.00E-04,-0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,6.3,0.267,-0.021,0.07,0.0064,-5.00E-04,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,6.35,0.267,-0.01,0.14,0.0064,-2.50E-04,0.003,0.003,0,0,7.50E-05,0,0
,,,,,,,6.4,0.267,0,0.105,0.0064,0,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,6.45,0.267,0,0.105,0.0064,0,0.002,0.003,0,0,7.50E-05,0,0
,,,,,,,6.5,0.267,0,0.314,0.0064,0,0.007,0.003,0,0.035,7.50E-05,0,8.33E-04
,,,,,,,6.55,0.267,0.021,0.768,0.0064,5.00E-04,0.018,0.003,0,0.105,7.50E-05,0,0.002
,,,,,,,6.6,0.267,0.073,1.292,0.0064,0.002,0.031,0.003,0.01,0.175,7.50E-05,2.50E-04,0.004
,,,,,,,6.65,0.273,0.157,1.641,0.0065,0.004,0.039,0.003,0.021,0.209,7.50E-05,5.00E-04,0.005
,,,,,,,6.7,0.283,0.251,1.745,0.0067,0.006,0.042,0.006,0.031,0.175,1.50E-04,7.50E-04,0.004
,,,,,,,6.75,0.298,0.335,1.78,0.0071,0.008,0.042,0.006,0.042,0.105,1.50E-04,1.00E-03,0.002
,,,,,,,6.8,0.317,0.419,1.955,0.0076,0.01,0.047,0.009,0.042,-5.55E-16,2.25E-04,1.00E-03,-1.19E-17
,,,,,,,6.85,0.339,0.524,2.234,0.0081,0.012,0.053,0.013,0.042,-0.105,3.00E-04,1.00E-03,-0.002
,,,,,,,6.9,0.368,0.649,2.339,0.0088,0.015,0.056,0.013,0.031,-0.175,3.00E-04,7.50E-04,-0.004
,,,,,,,6.95,0.405,0.775,2.094,0.0097,0.018,0.05,0.016,0.021,-0.209,3.75E-04,5.00E-04,-0.005
,,,,,,,7,0.446,0.869,1.641,0.0106,0.021,0.039,0.016,0.01,-0.14,3.75E-04,2.50E-04,-0.003
,,,,,,,7.05,0.493,0.932,1.187,0.0118,0.022,0.028,0.016,0,-1.91E-16,3.75E-04,0,-5.42E-18
,,,,,,,7.1,0.54,0.984,0.838,0.0129,0.023,0.02,0.016,0.01,0.105,3.75E-04,2.50E-04,0.002
,,,,,,,7.15,0.591,1.016,0.524,0.0141,0.024,0.012,0.016,0.021,0.07,3.75E-04,5.00E-04,0.002
,,,,,,,7.2,0.644,1.037,0.244,0.0154,0.025,0.006,0.019,0.021,-0.07,4.50E-04,5.00E-04,-0.002
,,,,,,,7.25,0.694,1.037,0.105,0.0166,0.025,0.002,0.019,0.01,-0.14,4.50E-04,2.50E-04,-0.003
,,,,,,,7.3,0.748,1.037,0.105,0.0178,0.025,0.002,0.019,0,-0.105,4.50E-04,0,-0.002
,,,,,,,7.35,0.798,1.047,0.14,0.019,0.025,0.003,0.019,0,-0.035,4.50E-04,0,-8.33E-04
,,,,,,,7.4,0.851,1.058,0.07,0.0203,0.025,0.002,0.019,0,0,4.50E-04,0,0
,,,,,,,7.45,0.905,1.058,-0.07,0.0216,0.025,-0.002,0.019,0,0,4.50E-04,0,0
,,,,,,,7.5,0.958,1.047,-0.14,0.0229,0.025,-0.003,0.019,0,0,4.50E-04,0,0
,,,,,,,7.55,1.008,1.037,-0.035,0.0241,0.025,-8.33E-04,0.019,0,0,4.50E-04,0,0
,,,,,,,7.6,1.062,1.037,0.209,0.0253,0.025,0.005,0.019,0,0,4.50E-04,0,0
,,,,,,,7.65,1.112,1.058,0.524,0.0265,0.025,0.012,0.019,0,0,4.50E-04,0,0
,,,,,,,7.7,1.166,1.089,0.803,0.0278,0.026,0.019,0.019,0,0,4.50E-04,0,0
,,,,,,,7.75,1.222,1.141,0.873,0.0292,0.027,0.021,0.019,0,0,4.50E-04,0,0
,,,,,,,7.8,1.279,1.194,0.628,0.0305,0.028,0.015,0.019,0,0,4.50E-04,0,0
,,,,,,,7.85,1.341,1.215,0.14,0.032,0.029,0.003,0.019,0,0,4.50E-04,0,0
,,,,,,,7.9,1.404,1.204,-0.314,0.0335,0.029,-0.007,0.019,0,0,4.50E-04,0,0
,,,,,,,7.95,1.461,1.173,-0.489,0.0349,0.028,-0.012,0.019,0,0,4.50E-04,0,0
,,,,,,,8,1.521,1.141,-0.419,0.0363,0.027,-0.01,0.019,0,0,4.50E-04,0,0
,,,,,,,8.05,1.577,1.131,-0.244,0.0376,0.027,-0.006,0.019,0,0,4.50E-04,0,0
,,,,,,,8.1,1.63,1.121,-0.175,0.0389,0.027,-0.004,0.019,0,0,4.50E-04,0,0
,,,,,,,8.15,1.69,1.121,-0.314,0.0403,0.027,-0.007,0.019,0,0,4.50E-04,0,0
,,,,,,,8.2,1.744,1.1,-0.489,0.0416,0.026,-0.012,0.019,0,0,4.50E-04,0,0
,,,,,,,8.25,1.8,1.058,-0.524,0.043,0.025,-0.012,0.019,0,0,4.50E-04,0,0
,,,,,,,8.3,1.85,1.037,-0.384,0.0442,0.025,-0.009,0.019,0,0,4.50E-04,0,0
,,,,,,,8.35,1.901,1.026,-0.279,0.0454,0.024,-0.007,0.019,0,0,4.50E-04,0,0
,,,,,,,8.4,1.954,1.016,-0.314,0.0466,0.024,-0.007,0.019,0,0,4.50E-04,0,0
,,,,,,,8.45,2.004,0.995,-0.349,0.0478,0.024,-0.008,0.019,0,0,4.50E-04,0,0
,,,,,,,8.5,2.051,0.974,-0.279,0.049,0.023,-0.007,0.019,0,0,4.50E-04,0,0
,,,,,,,8.55,2.102,0.963,-0.14,0.0502,0.023,-0.003,0.019,0,0,4.50E-04,0,0
,,,,,,,8.6,2.149,0.963,-0.035,0.0513,0.023,-8.33E-04,0.019,0,0,4.50E-04,0,0
,,,,,,,8.65,2.196,0.963,-0.035,0.0524,0.023,-8.33E-04,0.019,0,0,4.50E-04,0,0
,,,,,,,8.7,2.246,0.963,-0.105,0.0536,0.023,-0.002,0.019,0,0,4.50E-04,0,0
,,,,,,,8.75,2.293,0.953,-0.698,0.0547,0.023,-0.017,0.019,0,0,4.50E-04,0,0
,,,,,,,8.8,2.34,0.942,-2.758,0.0559,0.022,-0.066,0.019,0,0,4.50E-04,0,0
,,,,,,,8.85,2.388,0.775,-6.213,0.057,0.018,-0.148,0.019,0,0,4.50E-04,0,0
,,,,,,,8.9,2.435,0.314,-9.076,0.0581,0.007,-0.217,0.019,0,0,4.50E-04,0,0
,,,,,,,8.95,2.432,-0.283,-8.936,0.058,-0.007,-0.213,0.019,0,-0.035,4.50E-04,0,-8.33E-04
,,,,,,,9,2.391,-0.723,-5.899,0.0571,-0.017,-0.141,0.019,0,-0.105,4.50E-04,0,-0.002
,,,,,,,9.05,2.347,-0.869,-2.374,0.056,-0.021,-0.057,0.019,-0.01,-0.14,4.50E-04,-2.50E-04,-0.003
,,,,,,,9.1,2.303,-0.869,-0.209,0.055,-0.021,-0.005,0.019,-0.021,-0.07,4.50E-04,-5.00E-04,-0.002
,,,,,,,9.15,2.259,-0.848,0.559,0.0539,-0.02,0.013,0.016,-0.021,0.07,3.75E-04,-5.00E-04,0.002
,,,,,,,9.2,2.218,-0.806,0.733,0.0529,-0.019,0.017,0.016,-0.01,0.14,3.75E-04,-2.50E-04,0.003
,,,,,,,9.25,2.177,-0.764,0.733,0.052,-0.018,0.017,0.016,0,0.105,3.75E-04,0,0.002
,,,,,,,9.3,2.143,-0.733,0.663,0.0511,-0.017,0.016,0.016,0,0.035,3.75E-04,0,8.33E-04
,,,,,,,9.35,2.105,-0.702,0.628,0.0502,-0.017,0.015,0.016,0,-0.035,3.75E-04,0,-8.33E-04
,,,,,,,9.4,2.07,-0.67,0.559,0.0494,-0.016,0.013,0.016,0,-0.105,3.75E-04,0,-0.002
,,,,,,,9.45,2.039,-0.639,0.419,0.0487,-0.015,0.01,0.016,-0.01,-0.14,3.75E-04,-2.50E-04,-0.003
,,,,,,,9.5,2.007,-0.628,0.279,0.0479,-0.015,0.007,0.016,-0.021,-0.07,3.75E-04,-5.00E-04,-0.002
,,,,,,,9.55,1.976,-0.618,0.209,0.0472,-0.015,0.005,0.013,-0.021,0.07,3.00E-04,-5.00E-04,0.002
,,,,,,,9.6,1.945,-0.607,3.805,0.0464,-0.014,0.091,0.013,-0.01,0.14,3.00E-04,-2.50E-04,0.003
,,,,,,,9.65,1.916,-0.597,14.172,0.0457,-0.014,0.338,0.013,0,0.105,3.00E-04,0,0.002
,,,,,,,9.7,1.885,0.492,25.133,0.045,0.012,0.6,0.013,0,0.035,3.00E-04,0,8.33E-04
,,,,,,,9.75,1.857,2.534,23.946,0.0443,0.06,0.572,0.013,0,0,3.00E-04,0,0
,,,,,,,9.8,2.152,3.801,6.597,0.0514,0.091,0.157,0.013,0,0,3.00E-04,0,0
,,,,,,,9.85,2.41,3.278,-12.287,0.0575,0.078,-0.293,0.013,0,0,3.00E-04,0,0
